Provider	Provider Country	SKU	Developer	Title	Version	Product Type Identifier	Units	Developer Proceeds	Begin Date	End Date	Customer Currency	Country Code	Currency of Proceeds	Apple Identifier	Customer Price	Promo Code	Parent Identifier	Subscription	Period	Category
APPLE	US	ACP_AWW_Recipes	PBL MEDIA PTY LTD.	The Australian Women's Weekly Cookbooks	2.2.1	1T	2	0	04/24/2014	04/24/2014	ZAR	ZA	ZAR	393065903	0	 	 	 	 	Food & Drink
APPLE	US	ACP_AWW_Recipes	PBL MEDIA PTY LTD.	The Australian Women's Weekly Cookbooks	2.2.1	7T	2	0	04/24/2014	04/24/2014	EUR	FR	EUR	393065903	0	 	 	 	 	Food & Drink
APPLE	US	ACP_AWW_Recipes	PBL MEDIA PTY LTD.	The Australian Women's Weekly Cookbooks	2.2.1	7T	2	0	04/24/2014	04/24/2014	AED	AE	AED	393065903	0	 	 	 	 	Food & Drink
APPLE	US	ACP_AWW_Recipes	PBL MEDIA PTY LTD.	The Australian Women's Weekly Cookbooks	2.2.1	7T	1	0	04/24/2014	04/24/2014	TRY	TR	TRY	393065903	0	 	 	 	 	Food & Drink
APPLE	US	au.com.bauermedia.australiangeographic.2014.01.issue	 	Aus Geo 2014.01 - Jan issue	 	IA1	1	5.6	04/24/2014	04/24/2014	USD	US	USD	715396529	7.99	 	SKU_Bauer_Australian_Geographic	 	 	Education
APPLE	US	SKU_Bauer_HNG	PBL MEDIA PTY LTD.	Australian House & Garden Magazine	1.0.10	1T	1	0	04/24/2014	04/24/2014	NZD	NZ	NZD	735558949	0	 	 	 	 	Lifestyle
APPLE	US	com.magshop.ns.wdw.months.1.1	 	Woman's Day Subscription_200_30	 	IAY	5	0	04/24/2014	04/24/2014	AUD	AU	AUD	547528605	0	 	MAG0536	New	1 Month	Entertainment
APPLE	US	MAG0410.1	PBL MEDIA PTY LTD.	Real Living Australia	1.3.8	1F	2	0	04/24/2014	04/24/2014	USD	BR	USD	823384894	0	 	 	 	 	Lifestyle
APPLE	US	MAG0410.1	PBL MEDIA PTY LTD.	Real Living Australia	1.3.8	1F	3	0	04/24/2014	04/24/2014	USD	US	USD	823384894	0	 	 	 	 	Lifestyle
APPLE	US	au.com.acpmagazines.gourmettraveller.subscriptions.1year	 	GT Paid Subscription_600_365	 	IAY	4	0	04/24/2014	04/24/2014	AUD	AU	AUD	471832473	0	 	ACPGT001	New	1 Year	Food & Drink
